x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model,clust
FDISP,FHICOVP,0.2882856804376422,classification,True,weighted F1,0.7509329104232746,0.8227353858165241,DecisionTreeClassifier(),1
FDEYEP,FHICOVP,0.2802663315677021,classification,True,weighted F1,0.7509329104232746,0.8207380299331877,DecisionTreeClassifier(),1
FCITP,FHICOVP,0.2651632800831527,classification,True,weighted F1,0.7509329104232746,0.8169763568562035,DecisionTreeClassifier(),1
FSCHP,FHICOVP,0.2589239381597549,classification,True,weighted F1,0.7509329104232746,0.8154223421224688,DecisionTreeClassifier(),1
FMIGP,FHICOVP,0.2469477954174094,classification,True,weighted F1,0.7509329104232746,0.8124394791052774,DecisionTreeClassifier(),1
FLANXP,FHICOVP,0.24312155242070457,classification,True,weighted F1,0.7509329104232746,0.8114864878980748,DecisionTreeClassifier(),1
FDEARP,FHICOVP,0.24304873527494286,classification,True,weighted F1,0.7509329104232746,0.8114683515435086,DecisionTreeClassifier(),1
FDREMP,FHICOVP,0.23864878072074702,classification,True,weighted F1,0.7509329104232746,0.8103724676684252,DecisionTreeClassifier(),1
FDPHYP,FHICOVP,0.23562992323019336,classification,True,weighted F1,0.7509329104232746,0.8096205696194061,DecisionTreeClassifier(),1
FDDRSP,FHICOVP,0.2263044147657941,classification,True,weighted F1,0.7509329104232746,0.807297892367355,DecisionTreeClassifier(),1
FDOUTP,FHICOVP,0.20602843390449432,classification,True,weighted F1,0.7509329104232746,0.8022478128259177,DecisionTreeClassifier(),1
FPOBP,FHICOVP,0.1645770028933473,classification,True,weighted F1,0.7509329104232746,0.7919236255451809,DecisionTreeClassifier(),1
FMARHWP,FHICOVP,0.16005698089932313,classification,True,weighted F1,0.7509329104232746,0.7907978368223065,DecisionTreeClassifier(),1
FPOWSP,FHICOVP,0.13296872224350875,classification,True,weighted F1,0.7509329104232746,0.7840510430772013,DecisionTreeClassifier(),1
