,var_name,range_key,n_unq_vals,info_from_api
0,HHLANP,False,124,True
1,FBATHP,False,3,True
2,DRIVESP,False,7,True
3,WGTP23,True,684,True
4,WGTP22,True,691,True
5,WGTP25,True,692,True
6,WGTP24,True,683,True
7,FWATP,False,3,True
8,WGTP21,True,706,True
9,WGTP20,True,699,True
10,WGTP27,True,696,True
11,WGTP26,True,687,True
12,WGTP29,True,681,True
13,WGTP28,True,699,True
14,FBROADBNDP,False,3,True
15,FWKWNP,False,2,True
16,HOTWAT,False,2,True
17,FWKHP,False,2,True
18,FFULP,False,3,True
19,FJWDP,False,2,True
20,WORKSTAT,False,16,True
21,WGTP34,True,686,True
22,WGTP33,True,702,True
23,WGTP36,True,701,True
24,PINCP,True,2427,True
25,WGTP35,True,686,True
26,FPOBP,False,2,True
27,WGTP30,True,706,True
28,WGTP32,True,703,True
29,STOV,False,3,True
30,WGTP31,True,711,True
31,FMHP,False,3,True
32,RACAIAN,False,2,True
33,WGTP38,True,710,True
34,WGTP37,True,691,True
35,WGTP39,True,689,True
36,PUBCOV,False,2,True
37,SRNT,False,3,True
38,SEX,False,2,True
39,WGTP45,True,697,True
40,WGTP44,True,695,True
41,DOUT,False,3,True
42,WGTP47,True,687,True
43,FACCESSP,False,3,True
44,WGTP46,True,691,True
45,WGTP41,True,695,True
46,WGTP40,True,692,True
47,WGTP43,True,689,True
48,WGTP42,True,684,True
49,INDP,False,270,True
50,WGTP49,True,691,True
51,WGTP48,True,680,True
52,PRIVCOV,False,2,True
53,FINTP,False,2,True
54,HUPAC,False,5,True
55,WGTP50,True,702,True
56,FBLDP,False,3,True
57,WGTP56,True,700,True
58,WGTP55,True,686,True
59,WGTP58,True,700,True
60,WGTP57,True,686,True
61,WGTP52,True,686,True
62,DEAR,False,2,True
63,WGTP51,True,705,True
64,WGTP54,True,689,True
65,DIS,False,2,True
66,WGTP53,True,690,True
67,ACR,False,4,True
68,FINSP,False,3,True
69,WGTP59,True,682,True
70,MARHYP,False,81,True
71,PAP,True,123,True
72,WGTP7,True,697,True
73,PWGTP30,True,730,True
74,WGTP6,True,694,True
75,PWGTP31,True,740,True
76,HINCP,True,4942,True
77,WGTP5,True,673,True
78,PWGTP32,True,736,True
79,WKWN,True,53,True
80,WGTP4,True,703,True
81,PWGTP33,True,719,True
82,PWGTP34,True,717,True
83,PWGTP35,True,725,True
84,WGTP9,True,694,True
85,PWGTP36,True,727,True
86,WGTP8,True,686,True
87,WGTP3,True,705,True
88,WGTP2,True,686,True
89,RACWHT,False,2,True
90,WGTP1,True,702,True
91,PWGTP26,True,717,True
92,PWGTP27,True,724,True
93,PWGTP28,True,721,True
94,PWGTP29,True,724,True
95,FBDSP,False,3,True
96,FWKLP,False,2,True
97,FSCHP,False,2,True
98,FMARHTP,False,2,True
99,PWGTP20,True,736,True
100,PWGTP21,True,727,True
101,GRPIP,True,102,True
102,PWGTP22,True,718,True
103,PWGTP23,True,724,True
104,PWGTP24,True,714,True
105,PWGTP25,True,711,True
106,JWTRNS,False,13,True
107,FRNTMP,False,3,True
108,FOTHSVCEXP,False,3,True
109,CIT,False,5,True
110,LAPTOP,False,3,True
111,FMRGIP,False,3,True
112,JWRIP,False,11,True
113,PWGTP15,True,712,True
114,FCOMPOTHXP,False,3,True
115,PWGTP16,True,722,True
116,FSEMP,False,2,True
117,PWGTP17,True,730,True
118,PWGTP18,True,736,True
119,PWGTP19,True,728,True
120,ENG,False,5,True
121,PWGTP10,True,731,True
122,PWGTP11,True,732,True
123,PWGTP12,True,696,True
124,PWGTP13,True,711,True
125,PWGTP14,True,729,True
126,FSSIP,False,2,True
127,FS,False,2,True
128,DIVISION,False,9,True
129,WRK,False,3,True
130,DRATX,False,3,True
131,SMOCP,True,3677,True
132,VPS,False,14,True
133,NWLA,False,4,True
134,FACRP,False,3,True
135,SCIENGRLP,False,3,True
136,FJWTRNSP,False,2,True
137,WGTP12,True,679,True
138,WGTP14,True,703,True
139,WGTP13,True,688,True
140,AGS,False,7,True
141,FSTOVP,False,3,True
142,WGTP10,True,703,True
143,WGTP19,True,689,True
144,WGTP16,True,687,True
145,WGTP15,True,689,True
146,WGTP18,True,693,True
147,WGTP17,True,703,True
148,FMARHWP,False,2,True
149,FTELP,False,3,True
150,PWGTP73,True,710,True
151,PWGTP74,True,707,True
152,PWGTP75,True,719,True
153,QTRBIR,False,4,True
154,FPERNP,False,2,True
155,PWGTP76,True,720,True
156,PWGTP77,True,729,True
157,PWGTP78,True,729,True
158,PWGTP79,True,733,True
159,PWGTP70,True,716,True
160,PWGTP71,True,727,True
161,PWGTP72,True,735,True
162,FDISP,False,2,True
163,PWGTP,True,636,True
164,WAGP,True,750,True
165,RWAT,False,3,True
166,PWGTP62,True,718,True
167,PWGTP63,True,711,True
168,PWGTP64,True,728,True
169,PWGTP65,True,723,True
170,PWGTP66,True,726,True
171,PWGTP67,True,738,True
172,PWGTP68,True,731,True
173,PWGTP69,True,733,True
174,FPLMPRP,False,2,True
175,TAXAMT,True,81,True
176,NWLK,False,4,True
177,ANC2P,False,164,True
178,PWGTP60,True,751,True
179,FPUBCOVP,False,2,True
180,PWGTP61,True,725,True
181,REGION,False,4,True
182,FMARHYP,False,2,True
183,FRETP,False,2,True
184,SMP,True,117,True
185,PWGTP59,True,722,True
186,FTENP,False,3,True
187,BLD,False,11,True
188,SMX,False,5,True
189,FVEHP,False,3,True
190,PWGTP51,True,721,True
191,PWGTP52,True,704,True
192,PWGTP53,True,704,True
193,PWGTP54,True,719,True
194,PWGTP55,True,719,True
195,GASFP,False,5,True
196,PWGTP56,True,705,True
197,PWGTP57,True,708,True
198,PWGTP58,True,720,True
199,VALP,True,689,True
200,HIMRKS,False,3,True
201,PWGTP50,True,737,True
202,FDEYEP,False,2,True
203,FCITP,False,2,True
204,RACNUM,True,5,True
205,PWGTP48,True,717,True
206,PWGTP49,True,727,True
207,SPORDER,True,16,True
208,PWGTP40,True,718,True
209,PWGTP41,True,710,True
210,PWGTP42,True,720,True
211,PWGTP43,True,721,True
212,ESP,False,9,True
213,MRGI,False,3,True
214,PWGTP44,True,718,True
215,WGTP,True,588,True
216,PWGTP45,True,711,True
217,ESR,False,6,True
218,OCCP,False,512,True
219,PWGTP46,True,728,True
220,PWGTP47,True,705,True
221,FMRGP,False,3,True
222,COW,False,10,True
223,MRGP,True,159,True
224,TABLET,False,3,True
225,MRGX,False,4,True
226,MULTG,False,3,True
227,MRGT,False,3,True
228,FOCCP,False,2,True
229,PWGTP37,True,711,True
230,PWGTP38,True,709,True
231,PWGTP39,True,707,True
232,FREFRP,False,3,True
233,WGTP61,True,684,True
234,WGTP60,True,692,True
235,WGTP67,True,668,True
236,WGTP69,True,684,True
237,WGTP68,True,686,True
238,WGTP63,True,693,True
239,FRWATP,False,3,True
240,WGTP62,True,697,True
241,WGTP65,True,680,True
242,WGTP64,True,687,True
243,RAC1P,False,9,True
244,RNTM,False,3,True
245,DREM,False,3,True
246,MIGSP,False,92,True
247,FHICOVP,False,2,True
248,NWRE,False,4,True
249,FDIALUPP,False,3,True
250,RNTP,True,131,True
251,WGTP70,True,683,True
252,HUPAOC,False,5,True
253,WGTP72,True,693,True
254,WGTP71,True,691,True
255,WGTP78,True,690,True
256,MV,False,8,True
257,WGTP77,True,684,True
258,WGTP79,True,664,True
259,WGTP74,True,687,True
260,WGTP73,True,682,True
261,WGTP76,True,689,True
262,WGTP75,True,695,True
263,FAGSP,False,3,True
264,ANC,False,4,True
265,OIP,True,298,True
266,WGTP80,True,698,True
267,NP,True,18,True
268,NR,False,3,True
269,LNGI,False,3,True
270,ANC1P,False,214,True
271,HISPEED,False,3,True
272,PLM,False,3,True
273,RAC3P,False,90,True
274,LANP,False,115,True
275,OC,False,3,True
276,FLAPTOPP,False,3,True
277,FPRIVCOVP,False,2,True
278,LANX,False,3,True
279,HUPARC,False,5,True
280,FMVP,False,3,True
281,SVAL,False,3,True
282,PWGTP80,True,721,True
283,RAC2P,False,64,True
284,FPOWSP,False,2,True
285,SSP,True,378,True
286,R18,False,7,True
287,WATFP,False,4,True
288,RMSP,True,21,True
289,BDSP,True,10,True
290,FGASP,False,7,True
291,RESMODE,False,5,True
292,REFR,False,3,True
293,POWSP,False,57,True
294,FPLMP,False,8,True
295,JWAP,False,281,True
296,DIALUP,False,4,True
297,ELEFP,False,4,True
298,RELSHIPP,False,26,True
299,MIG,False,7,True
300,RC,False,4,True
301,MIL,False,6,True
302,WAOB,False,9,True
303,FHINS7P,False,5,True
304,INTP,True,452,True
305,RACASN,False,3,True
306,FINDP,False,2,True
307,FHISPEEDP,False,3,True
308,FPAP,False,2,True
309,JWMNP,True,104,True
310,FHINS6P,False,2,True
311,FKITP,False,3,True
312,INSP,True,171,True
313,YBL,False,24,True
314,FFINCP,False,3,True
315,FINCP,True,4505,True
316,HINS6,False,2,True
317,YOEP,False,78,True
318,FSMXHP,False,3,True
319,FTABLETP,False,3,True
320,FLANXP,False,2,True
321,FCOWP,False,2,True
322,GRNTP,True,1484,True
323,FJWMNP,False,2,True
324,HINS1,False,2,True
325,HINS2,False,2,True
326,HINS3,False,2,True
327,HINS4,False,2,True
328,FDDRSP,False,2,True
329,FWAGP,False,2,True
330,FGRNTP,False,3,True
331,PUMA,True,936,True
332,FHINS5P,False,2,True
333,FHINS5C,False,3,True
334,FVACSP,False,2,True
335,FHOTWATP,False,2,True
336,R60,False,4,True
337,FMARHDP,False,2,True
338,R65,False,4,True
339,MARHT,False,4,True
340,FHINS4P,False,2,True
341,DECADE,False,9,True
342,MARHW,False,3,True
343,MARHM,False,3,True
344,FHINS4C,False,3,True
345,PSF,False,3,True
346,NOC,True,13,True
347,POBP,False,212,True
348,CPLT,False,5,True
349,NOP,False,9,True
350,FSMARTPHONP,False,3,True
351,FULP,True,141,True
352,FHINS3P,False,2,True
353,SINK,False,3,True
354,KIT,False,3,True
355,FVALP,False,3,True
356,JWDP,False,149,True
357,WKEXREL,False,16,True
358,DPHY,False,3,True
359,NPF,True,17,True
360,FHINS3C,False,3,True
361,FDEARP,False,2,True
362,NPP,False,3,True
363,FHINS2P,False,2,True
364,FSCHLP,False,2,True
365,FRWATPRP,False,2,True
366,FPARC,False,5,True
