,var_name,range_key,n_unq_vals,info_from_api
0,HHLANP,False,100,True
1,FBATHP,False,3,True
2,DRIVESP,False,7,True
3,FWATP,False,3,True
4,FBROADBNDP,False,3,True
5,FWKWNP,False,2,True
6,HOTWAT,False,2,True
7,FWKHP,False,2,True
8,FFULP,False,3,True
9,FJWDP,False,2,True
10,WORKSTAT,False,16,True
11,PINCP,True,1530,True
12,FPOBP,False,2,True
13,STOV,False,3,True
14,FMHP,False,3,True
15,RACAIAN,False,2,True
16,SRNT,False,3,True
17,SEX,False,2,True
18,DOUT,False,3,True
19,FACCESSP,False,3,True
20,OTHSVCEX,False,3,True
21,INDP,False,258,True
22,PRIVCOV,False,2,True
23,FINTP,False,2,True
24,HUPAC,False,5,True
25,FBLDP,False,3,True
26,DEAR,False,2,True
27,DIS,False,2,True
28,ACR,False,4,True
29,FINSP,False,3,True
30,MARHYP,False,80,True
31,PAP,True,58,True
32,HINCP,True,3052,True
33,WKWN,True,53,True
34,RACWHT,False,2,True
35,GASP,True,60,True
36,FBDSP,False,3,True
37,FWKLP,False,2,True
38,FSCHP,False,2,True
39,FMARHTP,False,2,True
40,JWTRNS,False,13,True
41,FRNTMP,False,3,True
42,FOTHSVCEXP,False,3,True
43,CIT,False,5,True
44,LAPTOP,False,3,True
45,FMRGIP,False,3,True
46,JWRIP,False,10,True
47,FCOMPOTHXP,False,3,True
48,FSEMP,False,2,True
49,ENG,False,5,True
50,FSSIP,False,2,True
51,FS,False,2,True
52,DIVISION,False,9,True
53,WRK,False,3,True
54,DRATX,False,3,True
55,SMOCP,True,2705,True
56,VPS,False,15,True
57,NWLA,False,4,True
58,FACRP,False,3,True
59,SCIENGRLP,False,3,True
60,FJWTRNSP,False,2,True
61,AGS,False,7,True
62,FSTOVP,False,3,True
63,FMARHWP,False,2,True
64,FTELP,False,3,True
65,QTRBIR,False,4,True
66,FPERNP,False,2,True
67,FDISP,False,2,True
68,WAGP,True,600,True
69,RWAT,False,3,True
70,FPLMPRP,False,2,True
71,TAXAMT,True,81,True
72,NWLK,False,4,True
73,ANC2P,False,123,True
74,REGION,False,4,True
75,FMARHYP,False,2,True
76,FRETP,False,2,True
77,SMP,True,102,True
78,FTENP,False,3,True
79,BLD,False,11,True
80,MAR,False,5,True
81,SMX,False,5,True
82,FVEHP,False,3,True
83,GASFP,False,5,True
84,VALP,True,542,True
85,HIMRKS,False,3,True
86,FCITP,False,2,True
87,RACNUM,True,5,True
88,SPORDER,True,11,True
89,ESP,False,9,True
90,MRGI,False,3,True
91,ESR,False,6,True
92,OCCP,False,461,True
93,FMRGP,False,3,True
94,COW,False,10,True
95,MRGP,True,154,True
96,TABLET,False,3,True
97,MRGX,False,4,True
98,MULTG,False,3,True
99,MRGT,False,3,True
100,FOCCP,False,2,True
101,FREFRP,False,3,True
102,FRWATP,False,3,True
103,RAC1P,False,9,True
104,RNTM,False,3,True
105,DREM,False,3,True
106,MIGSP,False,80,True
107,NWRE,False,4,True
108,FDIALUPP,False,3,True
109,RNTP,True,129,True
110,HUPAOC,False,5,True
111,MV,False,8,True
112,FAGSP,False,3,True
113,ANC,False,4,True
114,OIP,True,217,True
115,NP,True,15,True
116,NR,False,3,True
117,LNGI,False,3,True
118,ANC1P,False,186,True
119,HISPEED,False,3,True
120,PLM,False,3,True
121,RAC3P,False,78,True
122,LANP,False,86,True
123,OC,False,3,True
124,FLAPTOPP,False,3,True
125,LANX,False,3,True
126,HUPARC,False,5,True
127,FMVP,False,3,True
128,SVAL,False,3,True
129,RAC2P,False,57,True
130,FPOWSP,False,2,True
131,SSP,True,333,True
132,NAICSP,False,256,True
133,WATFP,False,4,True
134,RMSP,True,21,True
135,BDSP,True,10,True
136,FGASP,False,3,True
137,RESMODE,False,4,True
138,REFR,False,3,True
139,POWSP,False,56,True
140,FPLMP,False,3,True
141,JWAP,False,253,True
142,DIALUP,False,3,True
143,ELEFP,False,4,True
144,RELSHIPP,False,19,True
145,MIG,False,4,True
146,RC,False,3,True
147,MIL,False,5,True
148,WAOB,False,8,True
149,FHINS7P,False,2,True
150,INTP,True,302,True
151,RACASN,False,2,True
152,FINDP,False,2,True
153,FHISPEEDP,False,3,True
154,FPAP,False,2,True
155,JWMNP,True,79,True
156,FHINS6P,False,2,True
157,FKITP,False,3,True
158,INSP,True,167,True
159,ST,False,51,False
160,YBL,False,24,True
161,FFINCP,False,3,True
162,FINCP,True,2749,True
163,YOEP,False,78,True
164,FSMXHP,False,3,True
165,FTABLETP,False,3,True
166,FLANXP,False,2,True
167,FCOWP,False,2,True
168,GRNTP,True,869,True
169,FJWMNP,False,2,True
170,HINS2,False,2,True
171,FWAGP,False,2,True
172,FGRNTP,False,3,True
173,PUMA,True,791,True
174,FVACSP,False,2,True
175,FHOTWATP,False,2,True
176,FMARHDP,False,2,True
177,MARHT,False,4,True
178,SERIALNO,False,10114,False
179,DECADE,False,9,True
180,MARHW,False,3,True
181,MARHM,False,3,True
182,PSF,False,3,True
183,POBP,False,177,True
184,CPLT,False,5,True
185,NOP,False,9,True
186,FSMARTPHONP,False,3,True
187,FULP,True,122,True
188,SINK,False,3,True
189,KIT,False,3,True
190,FVALP,False,3,True
191,JWDP,False,139,True
192,WKEXREL,False,16,True
193,DPHY,False,3,True
194,FDEARP,False,2,True
195,NPP,False,3,True
196,FHINS2P,False,2,True
197,FSCHLP,False,2,True
198,FRWATPRP,False,2,True
199,FPARC,False,5,True
200,MIGPUMA,True,153,True
201,HUGCL,False,3,True
202,DDRS,False,3,True
203,MARHD,False,3,True
204,FMRGXP,False,3,True
205,SATELLITE,False,3,True
206,FULFP,False,4,True
207,POVPIP,True,503,True
208,BATH,False,3,True
209,FSATELLITEP,False,3,True
210,GCL,False,3,True
211,WKHP,True,78,True
212,FRNTP,False,3,True
213,HFL,False,10,True
214,FSMP,False,3,True
215,TYPE,False,3,True
216,FRMSP,False,3,True
217,POWPUMA,True,190,True
218,PARTNER,False,6,True
219,FELEP,False,3,True
220,CONP,True,67,True
221,FMIGP,False,2,True
222,HISP,False,22,True
223,FESRP,False,2,True
224,HHL,False,6,True
225,AGEP,True,97,True
226,SEMP,True,198,True
227,HHT,False,8,True
228,OCPIP,True,99,True
229,SCHG,False,17,True
230,FTAXP,False,3,True
231,MSP,False,7,True
232,RACBLK,False,2,True
233,FMRGTP,False,3,True
234,FER,False,3,True
235,SCHL,False,25,True
236,NATIVITY,False,2,True
237,SMARTPHONE,False,3,True
238,FES,False,9,True
239,VEH,False,8,True
240,HHT2,False,13,True
241,FDREMP,False,2,True
242,NWAB,False,4,True
243,FCONP,False,3,True
244,FYBLP,False,3,True
245,FOIP,False,2,True
246,BROADBND,False,3,True
247,NWAV,False,5,True
248,FDPHYP,False,2,True
249,FFODP,False,2,True
250,PAOC,False,5,True
251,FMARHMP,False,2,True
252,SSIP,True,110,True
253,FJWRIP,False,2,True
254,COMPOTHX,False,3,True
255,FSINKP,False,3,True
256,ELEP,True,67,True
257,FHFLP,False,3,True
258,WIF,False,5,True
259,FSMXSP,False,3,True
260,RETP,True,428,True
261,FSSP,False,2,True
262,PLMPRP,False,2,True
263,SCIENGP,False,3,True
264,CITWP,False,65,True
265,FMILSP,False,2,True
266,ACCESS,False,4,True
267,FPINCP,False,2,True
268,FOD1P,False,157,True
269,FMARP,False,2,True
270,SOCP,False,470,True
271,FSMOCP,False,3,True
272,FDOUTP,False,2,True
273,PERNP,True,642,True
274,SCH,False,4,True
275,WKL,False,4,True
276,TEL,False,4,True
277,TEN,False,5,True
278,BST,False,51,False
