library	model_name	model_features_description	model_hyperparameters	best_value	all_parameters	parameter_value
scikit-learn	XGBClassifier	"household income (past 12 months, use adjinc to adjust hincp to constant dollars)"	colsample_bytree	0.7	cv	"KFold(n_splits=5, random_state=None, shuffle=False)"
		"total person's income (signed, use adjinc to adjust to constant dollars)"	learning_rate	0.1	error_score	
		income-to-poverty ratio recode	max_depth	None	estimator__objective	binary:logistic
		number of rooms	scale_pos_weight	3	estimator__use_label_encoder	FALSE
		"gross rent (monthly amount, use adjhsg to adjust grntp to constant dollars)"	subsample	0.8	estimator__base_score	
		number of bedrooms			estimator__booster	
		Disability recode:With a disability			estimator__callbacks	
		Detailed household language:English only household			estimator__colsample_bylevel	
		"Work status of householder or spouse in family households:Husband and wife both in labor force, both employed or in Armed Forces"			estimator__colsample_bynode	
		Response mode:Internet			estimator__colsample_bytree	
		Gas cost flag variable:No charge or gas not used			estimator__early_stopping_rounds	
		Tenure:Owned with mortgage or loan (include home equity loans)			estimator__enable_categorical	FALSE
		Specified rental unit:A single-family home on 10 or more acres.			estimator__eval_metric	
		Yearly food stamp/Supplemental Nutrition Assistance Program (SNAP) recipiency:Yes			estimator__gamma	
		HH presence and age of children:With children 6 to 17 years only			estimator__gpu_id	
		Response mode:MAIL			estimator__grow_policy	
		Relationship:Reference person			estimator__importance_type	
		Units in structure:One-family house detached			estimator__interaction_constraints	
		Tenure:Owned Free And Clear			estimator__learning_rate	
		Family income (past 12 months) allocation flag:No			estimator__max_bin	
		When structure first built:1970 to 1979			estimator__max_cat_to_onehot	
		When structure first built:1939 or earlier			estimator__max_delta_step	
		HH presence and age of children:No children			estimator__max_depth	
		Response mode:CATI/CAPI			estimator__max_leaves	
		Laptop or desktop:No			estimator__min_child_weight	
		Water cost flag variable:No charge			estimator__missing	
		HH presence and age of children:With children under 6 years and 6 to 17 years			estimator__monotone_constraints	
		Work status of householder or spouse in family households:N/A (GQ/not a family household/same-sex married-couple families)			estimator__n_estimators	100
		Relationship:Opposite-sex husband/wife/spouse			estimator__n_jobs	
		Selected monthly owner cost allocation flag:No			estimator__num_parallel_tree	
		When structure first built:1960 to 1969			estimator__predictor	
		Other Internet service:N/A (GQ/vacant/no paid access to the internet)			estimator__random_state	
		Independent living difficulty:No			estimator__reg_alpha	
		When structure first built:1990 to 1999			estimator__reg_lambda	
		Gas cost flag variable:Valid monthly gas cost in GASP			estimator__sampling_method	
		Detailed household language:Spanish			estimator__scale_pos_weight	
		When structure first built:1980 to 1989			estimator__subsample	
		Units in structure:Mobile Home or Trailer			estimator__tree_method	
		Related child:No			estimator__validate_parameters	
		Work status of householder or spouse in family households:Neither husband nor wife in labor force			estimator__verbosity	
		Relationship:Noninstitutionalized group quarters population			estimator	"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=None,
              num_parallel_tree=None, predictor=None, random_state=None,
              reg_alpha=None, reg_lambda=None, ...)"
		Laptop or desktop:Yes			n_jobs	
		Tenure:Rented			param_grid	"{'learning_rate': [0.4, 0.2, 0.1], 'subsample': [0.8, 1.0], 'scale_pos_weight': [1.0, 2.0, 3.0], 'colsample_bytree': [0.7, 1.0], 'max_depth': [5, 10, 30, None]}"
