,index,HHLANP,FBATHP,DRIVESP,RACNH,FWATP,FBROADBNDP,FDRATXP,FWKWNP,HOTWAT,FWKHP,FFULP,FRACP,FJWDP,WORKSTAT,PINCP,FPOBP,STOV,FMHP,RACAIAN,PUBCOV,SRNT,SEX,DOUT,FACCESSP,OTHSVCEX,RACPI,INDP,PRIVCOV,SFN,FINTP,HUPAC,SFR,FBLDP,DEAR,DIS,ACR,VACS,FINSP,FMILPP,MARHYP,ADJHSG,PAP,HINCP,WKWN,RACWHT,GASP,FBDSP,FWKLP,FSCHP,FMARHTP,state_x,JWTRNS,FRNTMP,FOTHSVCEXP,CIT,LAPTOP,FMRGIP,JWRIP,FCOMPOTHXP,FSEMP,ENG,FLANP,FCITWP,FSSIP,FS,DIVISION,WRK,HICOV,DRATX,SMOCP,VPS,NWLA,FACRP,SCIENGRLP,FJWTRNSP,AGS,FSTOVP,FMARHWP,FTELP,QTRBIR,FPERNP,FDISP,WAGP,RWAT,FPLMPRP,TAXAMT,NWLK,ANC2P,FPUBCOVP,REGION,FMARHYP,FRETP,SMP,FTENP,BLD,MAR,SMX,FVEHP,GASFP,VALP,HIMRKS,state_y,FCITP,RACNUM,SPORDER,FANCP,DRAT,ESP,MRGI,ESR,OCCP,FMRGP,COW,MRGP,TABLET,MRGX,MULTG,MRGT,FOCCP,FREFRP,FRWATP,RAC1P,RNTM,DREM,MIGSP,FHICOVP,NWRE,FDIALUPP,RNTP,HUPAOC,MV,FAGSP,ANC,OIP,NP,NR,LNGI,ANC1P,HISPEED,PLM,RAC3P,LANP,OC,FLAPTOPP,FPRIVCOVP,LANX,HUPARC,FMVP,SVAL,RAC2P,FPOWSP,SSP,state_x,NAICSP,WATFP,RMSP,FDRATP,BDSP,FGASP,RESMODE,FSEXP,MHP,REFR,POWSP,FPLMP,JWAP,DIALUP,ELEFP,RELSHIPP,MIG,RC,MIL,WAOB,FHINS7P,RT,INTP,RACASN,FRELSHIPP,FINDP,FHISPEEDP,FPAP,JWMNP,FHINS6P,FKITP,INSP,ST,YBL,FFINCP,FINCP,HINS6,YOEP,FSMXHP,HINS7,FTABLETP,FLANXP,FCOWP,GRNTP,FJWMNP,HINS1,HINS2,HINS3,HINS4,HINS5,state_y,FWAGP,FGRNTP,PUMA,FHINS5P,FSCHGP,FHINS5C,FVACSP,FHOTWATP,FMARHDP,FMIGSP,MARHT,FHINS4P,SERIALNO,DECADE,MARHW,MARHM,FGCRP,FHINS4C,PSF,RACSOR,POBP,CPLT,NOP,FSMARTPHONP,FULP,FHINS3P,SINK,KIT,FVALP,JWDP,WKEXREL,DPHY,FWRKP,FHINS3C,FDEARP,NPP,FHINS2P,FSCHLP,FRWATPRP,MLPCD,FPARC,MIGPUMA,HUGCL,DDRS,MARHD,FMRGXP,SATELLITE,FULFP,POVPIP,BATH,state_x,GCM,FSATELLITEP,FHINS1P,GCL,WKHP,GCR,FRNTP,HFL,FSMP,ADJINC,TYPE,FRMSP,POWPUMA,PARTNER,FELEP,CONP,FMIGP,FFSP,FGCMP,HISP,FESRP,HHL,AGEP,DEYE,SEMP,HHT,OCPIP,FGCLP,FENGP,SCHG,FTAXP,MSP,RACBLK,FMRGTP,FAGEP,FER,MLPFG,SCHL,NATIVITY,SMARTPHONE,FES,VEH,FFERP,HHT2,FDREMP,FYOEP,NWAB,FCONP,FYBLP,FOIP,state_y,FHISP,BROADBND,NWAV,FDPHYP,FFODP,PAOC,FMARHMP,SSIP,FJWRIP,COMPOTHX,FSINKP,ELEP,FHFLP,WIF,FSMXSP,FOD2P,RETP,FSSP,PLMPRP,SCIENGP,CITWP,FMILSP,ACCESS,FPINCP,FOD1P,FMARP,SOCP,MLPE,MLPH,MLPA,FSMOCP,MLPB,FDOUTP,PERNP,SCH,WKL,TEL,TEN,MLPI,MLPJ,MLPK,state
0,92807,9500,0,1,0,0,0,0,0,9,0,0,0,0,2,37100,0,1,0,0,2,0,1,2,0,2,0,7860,1,0,0,2,0,0,2,2,1,0,0,0,1996,1.000000,0,111100,52,1,3,0,0,0,0,12,0,0,0,5,1,0,0,0,0,1,0,0,0,2,5,2,1,0,2780,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,21500,2,999,0,3,0,0,0,0,2,5,0,0,3,3659000,0,12,0,1,3,0,0,2,0,6,9,0,0,0,2,3,1,0,0,0,0,6,0,2,0,0,3,0,0,2,3,0,1,0,3,0,1,706,1,1,5,1970,1,0,0,1,2,0,1,43,0,0,12,6111,3,7,0,4,0,3,0,-1,1,12,0,91,2,3,21,1,0,4,1,0,P,0,0,0,0,0,0,15,0,0,2600,12,3,0,111100,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,12,0,0,9908,0,0,-1,0,0,0,0,0,0,2019HU0463594,8,0,0,0,-1,0,0,209,1,4,0,2,0,1,1,0,0,6,2,0,-1,0,0,0,1,0,-1,2,0,0,2,0,0,2,2,501,1,12,0,0,0,2,40,0,0,3,0,1.010145,1,0,10300,0,0,0,0,0,0,2,0,1,62,2,0,1,27,0,0,0,0,1,0,0,0,0,-1,21,1,1,1,1,0,1,0,0,3,0,0,0,12,0,1,5,0,0,0,0,0,0,2,0,430,0,1,0,1099,0,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,0,3,3,1,2,-1,-1,-1,12
1,63194,9500,0,0,0,0,0,0,0,9,0,0,0,0,3,-19999,0,1,0,0,1,0,1,0,0,2,0,169,2,1,0,1,5,0,2,2,1,0,1,0,1939,1.000000,-1,55900,0,1,3,0,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,1,0,940,0,0,0,0,0,0,0,0,0,4,0,0,-1,1,0,0,0,999,0,3,0,0,0,0,2,5,3,0,3,15000,0,12,0,1,7,0,0,7,1,0,9,0,0,490,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,4,5,0,3,-1,8,0,1,996,1,1,1,999,0,0,0,0,1,0,1,1,0,-1,12,-1,3,7,0,4,0,3,0,-1,1,0,0,0,2,3,30,1,1,0,1,0,P,-10001,0,0,0,0,0,0,0,0,4,12,6,0,55900,2,1928,0,2,0,0,0,0,0,2,2,2,1,2,12,0,0,9100,0,0,-1,0,0,0,0,0,0,2019HU1300049,0,0,0,0,0,1,0,12,1,7,0,2,0,1,1,0,0,5,0,0,-1,0,0,0,0,0,-1,3,0,1,0,0,0,2,2,122,1,12,0,0,0,0,0,0,0,3,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,2,2,-10001,1,20,0,0,0,1,0,0,0,0,0,-1,0,1,1,2,3,0,2,0,0,0,0,0,0,12,0,1,0,0,0,0,0,-1,0,2,0,350,0,3,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,-10001,0,0,1,1,-1,-1,-1,12
2,132858,1155,0,0,0,0,0,0,0,9,0,0,0,0,9,24000,1,1,0,0,1,0,1,2,0,2,0,169,2,0,0,4,0,0,2,2,1,0,0,0,1964,1.000000,0,81000,0,1,3,0,0,0,0,12,0,0,0,1,2,0,0,1,1,0,0,0,1,1,5,2,1,0,-1,0,3,0,0,0,0,1,0,1,3,1,1,0,1,0,-1,3,999,1,3,0,1,0,0,6,5,0,1,3,-1,0,12,0,1,1,0,0,0,0,6,3930,0,1,0,2,0,1,0,1,1,1,1,2,2,12,1,3,0,1100,4,3,0,4,0,1,0,1,999,0,1,1,999,0,1,1,2,4,0,0,1,0,0,12,-1,2,7,0,3,0,1,0,-1,1,0,0,0,2,3,20,1,0,4,1,0,P,0,0,0,0,0,0,0,0,0,2300,12,4,1,81000,2,1928,0,2,0,0,0,0,0,2,2,1,2,2,12,1,1,12703,1,0,-1,0,0,0,1,0,0,2019HU1321758,0,0,0,0,0,0,0,48,0,0,1,2,1,1,1,0,0,0,2,0,-1,1,0,0,0,0,-1,0,3590,0,2,0,0,0,2,110,1,12,0,0,0,2,0,0,0,3,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,3,74,2,0,1,23,0,0,0,0,1,0,0,0,0,-1,16,1,1,4,3,0,2,0,0,2,0,0,0,12,0,0,5,0,0,0,0,0,0,2,1,130,1,-1,0,1099,14600,1,9,0,1943,1,3,1,1099,0,339030,-1,-1,-1,0,-1,0,0,1,2,1,3,-1,-1,-1,12
3,42262,1200,0,0,0,0,0,0,0,9,0,0,0,0,3,-19999,0,1,0,0,1,1,1,0,0,2,0,169,2,0,0,3,0,0,2,2,0,0,0,0,1939,1.000000,-1,29600,0,1,3,1,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,1,0,-1,0,0,0,0,0,0,0,0,0,4,0,0,-1,1,0,-1,0,999,0,3,0,0,0,0,6,5,0,0,3,-1,0,12,0,1,4,0,0,2,0,0,9,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1100,3,4,0,1,-1,6,0,1,224,1,1,1,999,1,0,0,0,3,0,0,1,0,-1,12,-1,1,2,0,1,1,1,0,-1,1,0,0,0,2,1,25,1,1,0,1,0,P,-10001,0,0,0,0,0,0,0,0,-1,12,5,1,29600,2,1928,0,2,0,0,0,1100,0,2,2,2,1,2,12,0,1,8609,0,0,-1,0,0,0,0,0,0,2019HU0849946,0,0,0,0,0,0,0,12,1,4,0,2,0,1,1,0,0,3,0,0,-1,0,0,0,0,0,-1,3,0,0,0,0,0,2,2,85,1,12,0,0,0,0,0,0,0,3,0,1.010145,1,1,0,0,0,-1,0,0,0,9,0,2,4,2,-10001,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,2,0,1,0,0,0,0,1,0,12,0,1,0,0,0,0,0,-1,0,2,0,2,0,2,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,-10001,1,0,1,3,-1,-1,-1,12
4,107705,9500,0,1,0,0,0,0,1,9,1,0,1,1,1,35000,1,1,0,0,2,0,1,2,0,2,0,2370,1,0,1,4,0,0,2,2,1,0,0,0,1984,1.000000,0,209200,52,1,3,0,1,1,1,12,11,0,0,1,1,0,0,0,0,0,0,0,0,2,5,1,1,0,1130,0,3,0,0,0,0,0,0,0,1,0,0,80000,1,0,2450,3,999,1,3,0,0,0,0,2,1,3,0,3,280000,0,12,0,1,1,0,0,0,1,1,1106,0,1,1000,1,1,1,1,0,0,0,1,0,2,0,1,3,0,0,2,4,0,1,0,4,0,1,195,1,1,1,999,0,0,0,2,2,0,1,1,0,0,12,3261,3,6,0,3,0,3,0,-1,1,12,0,84,2,3,28,1,0,4,1,1,P,0,0,1,1,0,1,10,1,0,1600,12,5,1,197000,2,1928,0,2,0,1,1,0,1,1,2,2,2,2,12,0,0,5707,0,0,-1,0,0,0,0,3,1,2019HU0780553,0,2,2,0,-1,0,0,34,1,0,0,2,0,1,1,0,0,1,2,0,-1,0,0,0,0,0,-1,2,0,0,2,2,0,2,2,454,1,12,0,0,1,2,45,0,0,3,0,1.010145,1,0,2790,0,0,0,1,0,0,1,1,1,50,2,0,1,4,0,0,0,0,2,0,0,1,0,-1,17,1,1,1,1,0,2,1,0,3,0,0,1,12,0,1,5,0,0,0,0,0,0,2,0,130,0,2,0,1099,3900,0,9,0,1943,0,1,0,1099,0,151241,-1,-1,-1,0,-1,0,80000,1,1,1,1,-1,-1,-1,12
5,188579,9500,0,1,0,0,0,0,0,9,0,0,0,0,1,106000,0,1,0,0,2,0,1,2,0,2,0,7290,1,0,0,4,0,0,2,2,2,0,0,0,2012,1.000000,0,161000,52,1,3,0,0,0,0,12,1,0,0,1,1,0,1,0,0,0,0,0,0,2,5,1,1,0,264,0,3,0,0,0,0,0,0,0,3,0,0,5000,1,0,825,3,142,0,3,0,0,0,0,6,5,0,0,3,145000,0,12,0,1,2,0,0,0,0,1,2752,0,1,0,2,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,6,0,2,0,2,0,1,50,2,1,1,999,0,0,0,2,4,0,0,1,0,3000,12,5413,2,7,0,3,0,1,0,-1,1,12,0,97,2,3,20,1,0,2,1,0,P,7000,0,0,0,0,0,17,0,0,3000,12,6,0,161000,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,12,0,0,11101,0,0,-1,0,0,0,0,0,0,2019HU1054159,0,0,0,0,-1,0,0,55,0,0,0,2,0,1,1,0,130,12,2,0,0,0,0,0,0,0,-1,4,0,0,2,0,0,1,2,493,1,12,0,0,0,2,40,0,0,3,0,1.010145,1,0,11700,0,0,0,0,0,0,1,0,1,51,2,0,1,11,0,0,0,0,1,0,0,0,0,0,21,1,1,1,2,0,2,0,0,3,0,0,0,12,0,2,5,0,0,0,0,0,0,2,0,50,0,1,0,1099,0,0,9,0,1943,0,1,0,1099,0,272042,-1,-1,-1,1,-1,0,5000,1,1,1,2,-1,-1,-1,12
6,22378,9500,0,0,0,0,0,0,0,9,0,0,0,0,0,16200,1,1,0,0,1,0,2,2,0,0,0,169,2,0,0,4,0,0,2,2,1,0,0,0,1965,1.000000,0,16200,0,1,3,0,0,0,1,12,0,0,0,1,2,0,0,0,0,0,0,0,0,2,5,2,1,0,270,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,625,2,999,0,3,1,0,0,0,2,2,0,0,3,75000,0,12,0,1,1,0,0,0,0,6,9,0,0,0,2,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,6,0,4,0,1,0,1,999,0,1,1,999,0,0,0,2,4,0,1,1,0,16200,12,-1,3,6,0,2,0,2,0,-1,1,0,0,0,0,3,20,1,0,4,1,0,P,0,0,0,0,0,0,0,0,0,0,12,5,0,-60000,2,1928,0,2,0,0,0,0,0,2,2,1,2,2,12,0,0,10103,0,0,-1,0,0,0,0,1,0,2019HU0425427,0,2,2,0,-1,0,0,12,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,2,2,0,0,2,134,1,12,0,0,0,2,0,0,0,3,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,75,2,0,6,20,0,0,0,0,3,0,0,0,0,-1,16,1,2,0,1,0,5,0,0,2,0,0,0,12,0,0,5,0,0,4,0,0,0,2,0,110,0,-1,0,1099,0,1,9,0,1943,0,3,1,1099,1,-1,-1,-1,-1,0,-1,0,0,1,3,1,2,-1,-1,-1,12
7,4267,1200,0,0,0,0,0,0,0,9,0,0,0,0,7,6900,0,1,0,0,1,0,1,2,0,2,0,9170,2,0,0,4,0,0,1,1,1,0,0,0,2005,1.000000,0,94400,0,1,3,0,0,0,0,12,0,0,0,4,1,0,0,0,0,3,0,0,0,1,5,2,1,0,1712,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,4050,2,999,0,3,0,0,0,0,2,1,3,0,3,285000,0,12,0,1,2,0,0,0,1,6,4220,0,2,1400,1,1,1,1,0,0,0,1,0,2,0,0,3,0,0,4,3,0,1,0,3,0,1,271,1,1,1,1200,0,0,0,1,4,0,1,1,0,6900,12,813M,3,7,0,4,0,3,0,-1,1,0,0,0,2,3,21,1,0,4,3,0,P,0,0,0,0,0,0,0,0,0,2000,12,8,0,94400,2,2001,0,2,0,0,0,0,0,2,2,1,2,2,12,0,0,8624,0,0,-1,0,0,0,0,2,0,2019HU0034815,7,2,2,0,-1,0,0,327,1,0,0,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,474,1,12,0,0,0,2,0,0,0,3,0,1.010145,1,0,0,0,0,0,0,0,0,4,0,2,69,2,0,1,22,0,0,0,0,1,0,0,0,0,-1,16,2,1,3,3,0,2,0,0,2,0,0,0,12,0,1,5,0,0,0,0,0,0,2,0,250,0,2,0,1099,0,0,9,0,2012,0,1,0,1099,0,37201X,-1,-1,-1,0,-1,0,0,1,2,1,1,-1,-1,-1,12
8,50830,1200,0,1,0,0,0,0,0,9,0,0,0,0,1,93000,0,1,0,0,2,0,1,2,0,2,0,9370,1,0,0,4,0,0,2,2,1,0,0,0,2000,1.000000,0,110200,52,1,3,0,0,0,0,12,1,0,0,4,1,0,1,0,0,1,0,0,0,2,5,1,1,0,1917,0,3,0,0,0,0,0,0,0,4,0,0,93000,1,0,2550,3,999,0,3,0,0,0,0,2,1,3,0,3,230000,0,12,0,1,1,0,0,0,1,1,3820,0,3,1600,1,1,1,1,1,0,0,1,0,2,0,0,3,0,0,4,5,0,1,0,2,0,1,252,1,1,1,1200,0,0,0,1,4,0,1,1,0,0,12,9211MP,3,5,0,3,0,3,0,-1,1,12,0,84,2,3,20,1,0,4,3,0,P,0,0,0,0,0,0,70,0,0,3000,12,9,1,110200,2,1996,0,2,0,0,0,0,0,1,2,2,2,2,12,0,0,8624,0,0,-1,0,0,0,0,1,0,2019HU1034880,6,2,2,0,-1,0,0,315,1,0,0,2,0,1,1,0,31,1,2,0,-1,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,501,1,12,0,0,0,2,40,0,0,3,0,1.010145,1,0,8690,0,0,0,0,0,0,9,0,2,45,2,0,1,21,0,0,0,0,1,0,0,0,0,-1,19,2,1,1,2,0,2,0,0,3,0,0,0,12,0,1,5,0,0,0,0,0,0,2,0,310,0,2,0,1099,0,0,9,0,1999,0,1,0,1099,0,333021,-1,-1,-1,0,-1,0,93000,1,1,1,1,-1,-1,-1,12
9,30265,9500,0,0,0,0,0,0,0,9,0,0,0,0,9,52530,0,1,0,0,1,0,2,2,0,1,0,7860,1,0,0,4,0,0,2,2,2,0,0,0,1971,1.000000,0,164660,0,1,3,0,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5,2,1,0,961,0,2,0,2,0,1,0,0,0,2,0,0,0,1,0,5250,2,999,0,3,0,0,0,0,2,1,0,0,3,600000,0,12,0,1,1,0,0,0,0,6,2310,0,3,0,1,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,6,0,1,0,2,0,1,920,1,1,1,999,0,0,0,2,4,0,1,1,0,18500,12,6111,2,10,0,5,0,3,0,-1,1,0,0,0,2,3,20,1,0,4,1,0,P,30,0,0,0,0,0,0,0,0,4000,12,7,0,164660,2,1928,0,2,0,0,0,0,0,1,2,1,2,2,12,0,0,10501,0,0,-1,0,0,0,0,1,0,2019HU0593645,0,2,2,0,-1,0,0,12,1,0,0,2,0,1,1,0,0,9,2,0,0,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,501,1,12,0,0,0,2,0,0,0,3,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,67,2,0,1,7,0,0,0,0,1,0,0,0,0,-1,21,1,1,4,2,0,2,0,0,2,0,0,0,12,0,1,5,0,0,4,0,0,0,2,0,190,0,0,0,2304,34000,0,9,2,1943,0,1,0,2307,0,252020,-1,-1,-1,0,-1,0,0,1,2,1,2,-1,-1,-1,12
