,var_name,range_key,n_unq_vals,info_from_api
0,HHLANP,False,101,True
1,FBATHP,False,3,True
2,DRIVESP,False,7,True
3,WGTP23,True,546,True
4,WGTP22,True,560,True
5,WGTP25,True,548,True
6,WGTP24,True,559,True
7,FWATP,False,3,True
8,WGTP21,True,550,True
9,WGTP20,True,567,True
10,WGTP27,True,565,True
11,WGTP26,True,539,True
12,WGTP29,True,559,True
13,WGTP28,True,557,True
14,FBROADBNDP,False,3,True
15,FWKWNP,False,2,True
16,HOTWAT,False,2,True
17,FWKHP,False,2,True
18,FFULP,False,3,True
19,FJWDP,False,2,True
20,WORKSTAT,False,16,True
21,WGTP34,True,552,True
22,WGTP33,True,561,True
23,WGTP36,True,559,True
24,PINCP,True,1497,True
25,WGTP35,True,548,True
26,FPOBP,False,2,True
27,WGTP30,True,552,True
28,WGTP32,True,553,True
29,STOV,False,3,True
30,WGTP31,True,546,True
31,FMHP,False,3,True
32,RACAIAN,False,2,True
33,WGTP38,True,549,True
34,WGTP37,True,544,True
35,WGTP39,True,554,True
36,SRNT,False,3,True
37,SEX,False,2,True
38,WGTP45,True,559,True
39,WGTP44,True,567,True
40,DOUT,False,3,True
41,WGTP47,True,558,True
42,FACCESSP,False,3,True
43,WGTP46,True,559,True
44,WGTP41,True,561,True
45,WGTP40,True,550,True
46,WGTP43,True,564,True
47,WGTP42,True,565,True
48,INDP,False,262,True
49,WGTP49,True,566,True
50,WGTP48,True,561,True
51,PRIVCOV,False,2,True
52,FINTP,False,2,True
53,HUPAC,False,5,True
54,WGTP50,True,563,True
55,FBLDP,False,3,True
56,WGTP56,True,557,True
57,WGTP55,True,559,True
58,WGTP58,True,553,True
59,WGTP57,True,565,True
60,WGTP52,True,580,True
61,DEAR,False,2,True
62,WGTP51,True,577,True
63,WGTP54,True,559,True
64,DIS,False,2,True
65,WGTP53,True,556,True
66,ACR,False,4,True
67,FINSP,False,3,True
68,WGTP59,True,554,True
69,MARHYP,False,80,True
70,PAP,True,61,True
71,WGTP7,True,572,True
72,PWGTP30,True,582,True
73,WGTP6,True,572,True
74,PWGTP31,True,599,True
75,HINCP,True,2992,True
76,WGTP5,True,559,True
77,PWGTP32,True,582,True
78,WKWN,True,53,True
79,WGTP4,True,571,True
80,PWGTP33,True,594,True
81,PWGTP34,True,588,True
82,PWGTP35,True,589,True
83,WGTP9,True,566,True
84,PWGTP36,True,595,True
85,WGTP8,True,540,True
86,WGTP3,True,555,True
87,WGTP2,True,564,True
88,RACWHT,False,2,True
89,WGTP1,True,557,True
90,PWGTP26,True,584,True
91,PWGTP27,True,579,True
92,PWGTP28,True,585,True
93,PWGTP29,True,580,True
94,FBDSP,False,3,True
95,FWKLP,False,2,True
96,FSCHP,False,2,True
97,FMARHTP,False,2,True
98,PWGTP20,True,582,True
99,PWGTP21,True,587,True
100,GRPIP,True,101,True
101,PWGTP22,True,588,True
102,PWGTP23,True,573,True
103,PWGTP24,True,590,True
104,PWGTP25,True,569,True
105,JWTRNS,False,13,True
106,FRNTMP,False,3,True
107,FOTHSVCEXP,False,3,True
108,CIT,False,5,True
109,LAPTOP,False,3,True
110,FMRGIP,False,3,True
111,JWRIP,False,10,True
112,PWGTP15,True,586,True
113,FCOMPOTHXP,False,3,True
114,PWGTP16,True,585,True
115,FSEMP,False,2,True
116,PWGTP17,True,580,True
117,PWGTP18,True,592,True
118,PWGTP19,True,581,True
119,ENG,False,5,True
120,PWGTP10,True,591,True
121,PWGTP11,True,589,True
122,PWGTP12,True,576,True
123,PWGTP13,True,575,True
124,PWGTP14,True,565,True
125,FSSIP,False,2,True
126,FS,False,2,True
127,DIVISION,False,9,True
128,WRK,False,3,True
129,DRATX,False,3,True
130,SMOCP,True,2684,True
131,VPS,False,14,True
132,NWLA,False,4,True
133,FACRP,False,3,True
134,SCIENGRLP,False,3,True
135,FJWTRNSP,False,2,True
136,WGTP12,True,546,True
137,WGTP14,True,532,True
138,WGTP13,True,552,True
139,AGS,False,7,True
140,FSTOVP,False,3,True
141,WGTP10,True,566,True
142,WGTP19,True,545,True
143,WGTP16,True,540,True
144,WGTP15,True,543,True
145,WGTP18,True,556,True
146,WGTP17,True,548,True
147,FMARHWP,False,2,True
148,FTELP,False,3,True
149,PWGTP73,True,593,True
150,PWGTP74,True,590,True
151,PWGTP75,True,586,True
152,QTRBIR,False,4,True
153,FPERNP,False,2,True
154,PWGTP76,True,582,True
155,PWGTP77,True,583,True
156,PWGTP78,True,590,True
157,PWGTP79,True,588,True
158,PWGTP70,True,595,True
159,PWGTP71,True,584,True
160,PWGTP72,True,584,True
161,FDISP,False,2,True
162,PWGTP,True,521,True
163,WAGP,True,601,True
164,RWAT,False,3,True
165,PWGTP62,True,600,True
166,PWGTP63,True,587,True
167,PWGTP64,True,577,True
168,PWGTP65,True,585,True
169,PWGTP66,True,578,True
170,PWGTP67,True,574,True
171,PWGTP68,True,582,True
172,PWGTP69,True,567,True
173,FPLMPRP,False,2,True
174,TAXAMT,True,81,True
175,NWLK,False,4,True
176,ANC2P,False,126,True
177,PWGTP60,True,576,True
178,PWGTP61,True,585,True
179,REGION,False,4,True
180,FMARHYP,False,2,True
181,FRETP,False,2,True
182,SMP,True,97,True
183,PWGTP59,True,575,True
184,FTENP,False,3,True
185,BLD,False,11,True
186,SMX,False,5,True
187,FVEHP,False,3,True
188,PWGTP51,True,590,True
189,PWGTP52,True,574,True
190,PWGTP53,True,578,True
191,PWGTP54,True,583,True
192,PWGTP55,True,573,True
193,GASFP,False,5,True
194,PWGTP56,True,577,True
195,PWGTP57,True,593,True
196,PWGTP58,True,576,True
197,VALP,True,543,True
198,HIMRKS,False,3,True
199,PWGTP50,True,588,True
200,FDEYEP,False,2,True
201,FCITP,False,2,True
202,RACNUM,True,5,True
203,PWGTP48,True,571,True
204,PWGTP49,True,584,True
205,SPORDER,True,13,True
206,PWGTP40,True,587,True
207,PWGTP41,True,583,True
208,PWGTP42,True,567,True
209,PWGTP43,True,582,True
210,ESP,False,9,True
211,MRGI,False,3,True
212,PWGTP44,True,590,True
213,WGTP,True,492,True
214,PWGTP45,True,596,True
215,ESR,False,6,True
216,OCCP,False,476,True
217,PWGTP46,True,589,True
218,PWGTP47,True,582,True
219,FMRGP,False,3,True
220,COW,False,10,True
221,MRGP,True,156,True
222,TABLET,False,3,True
223,MRGX,False,4,True
224,MULTG,False,3,True
225,MRGT,False,3,True
226,FOCCP,False,2,True
227,PWGTP37,True,586,True
228,PWGTP38,True,591,True
229,PWGTP39,True,583,True
230,FREFRP,False,3,True
231,WGTP61,True,550,True
232,WGTP60,True,559,True
233,WGTP67,True,555,True
234,WGTP69,True,565,True
235,WGTP68,True,559,True
236,WGTP63,True,552,True
237,FRWATP,False,3,True
238,WGTP62,True,560,True
239,WGTP65,True,557,True
240,WGTP64,True,542,True
241,RAC1P,False,9,True
242,RNTM,False,3,True
243,DREM,False,3,True
244,MIGSP,False,81,True
245,NWRE,False,4,True
246,FDIALUPP,False,3,True
247,RNTP,True,128,True
248,WGTP70,True,571,True
249,HUPAOC,False,5,True
250,WGTP72,True,573,True
251,WGTP71,True,562,True
